# created 09/29/25
# Realistic hybrid turbofan powertrain mapping file
# generated by PowertrainMapper Example using PowertrainMapper
# NOTE: this powertrain is for example/testing purposes only

Mach_Number, Altitude (ft),   Throttle, Gross_Thrust (lbf), Ram_Drag (lbf), Fuel_Flow (lb/h), NOx_Rate (lb/h), Electric_Power (kW)
      0.0,         0.0,     21.0,          5880.0,           0.0,         769.9,      2.6460,          15.750
      0.0,         0.0,     22.0,          6160.0,           0.0,         825.5,      2.9040,          16.500
      0.0,         0.0,     24.0,          6720.0,           0.0,         940.6,      3.4560,          18.000
      0.0,         0.0,     26.0,          7280.0,           0.0,        1060.6,      4.0560,          19.500
      0.0,         0.0,     30.0,          8400.0,           0.0,        1314.5,      5.4000,          22.500
      0.0,         0.0,     34.0,          9520.0,           0.0,        1586.0,      6.9360,          25.500
      0.0,         0.0,     38.0,         10640.0,           0.0,        1874.0,      8.6640,          28.500
      0.0,         0.0,     42.0,         11760.0,           0.0,        2177.5,     10.5840,          31.500
      0.0,         0.0,     46.0,         12880.0,           0.0,        2495.9,     12.6960,          34.500
      0.0,         0.0,     48.0,         13440.0,           0.0,        2660.4,     13.8240,          36.000
      0.0,         0.0,     50.0,         14000.0,           0.0,        2828.4,     15.0000,          37.500
      0.0,      2000.0,     21.0,          5820.9,           0.0,         800.7,      2.7783,          16.065
      0.0,      2000.0,     22.0,          6098.1,           0.0,         858.5,      3.0492,          16.830
      0.0,      2000.0,     24.0,          6652.5,           0.0,         978.2,      3.6288,          18.360
      0.0,      2000.0,     26.0,          7206.8,           0.0,        1103.0,      4.2588,          19.890
      0.0,      2000.0,     30.0,          8315.6,           0.0,        1367.1,      5.6700,          22.950
      0.0,      2000.0,     34.0,          9424.3,           0.0,        1649.5,      7.2828,          26.010
      0.0,      2000.0,     38.0,         10533.1,           0.0,        1948.9,      9.0972,          29.070
      0.0,      2000.0,     42.0,         11641.8,           0.0,        2264.6,     11.1132,          32.130
      0.0,      2000.0,     46.0,         12750.5,           0.0,        2595.7,     13.3308,          35.190
      0.0,      2000.0,     48.0,         13304.9,           0.0,        2766.8,     14.5152,          36.720
      0.0,      2000.0,     50.0,         13859.3,           0.0,        2941.6,     15.7500,          38.250
      0.0,     10000.0,     21.0,          5578.3,           0.0,         923.8,      3.3075,          17.325
      0.0,     10000.0,     22.0,          5843.9,           0.0,         990.6,      3.6300,          18.150
      0.0,     10000.0,     24.0,          6375.2,           0.0,        1128.7,      4.3200,          19.800
      0.0,     10000.0,     26.0,          6906.4,           0.0,        1272.7,      5.0700,          21.450
      0.0,     10000.0,     30.0,          7968.9,           0.0,        1577.4,      6.7500,          24.750
      0.0,     10000.0,     34.0,          9031.5,           0.0,        1903.2,      8.6700,          28.050
      0.0,     10000.0,     38.0,         10094.0,           0.0,        2248.8,     10.8300,          31.350
      0.0,     10000.0,     42.0,         11156.5,           0.0,        2613.0,     13.2300,          34.650
      0.0,     10000.0,     46.0,         12219.0,           0.0,        2995.1,     15.8700,          37.950
      0.0,     10000.0,     48.0,         12750.3,           0.0,        3192.5,     17.2800,          39.600
      0.0,     10000.0,     50.0,         13281.6,           0.0,        3394.1,     18.7500,          41.250
      0.0,     20000.0,     21.0,          5259.2,           0.0,        1077.8,      3.9690,          18.900
      0.0,     20000.0,     22.0,          5509.7,           0.0,        1155.7,      4.3560,          19.800
      0.0,     20000.0,     24.0,          6010.6,           0.0,        1316.8,      5.1840,          21.600
      0.0,     20000.0,     26.0,          6511.4,           0.0,        1484.8,      6.0840,          23.400
      0.0,     20000.0,     30.0,          7513.2,           0.0,        1840.3,      8.1000,          27.000
      0.0,     20000.0,     34.0,          8514.9,           0.0,        2220.4,     10.4040,          30.600
      0.0,     20000.0,     38.0,          9516.7,           0.0,        2623.6,     12.9960,          34.200
      0.0,     20000.0,     42.0,         10518.5,           0.0,        3048.5,     15.8760,          37.800
      0.0,     20000.0,     46.0,         11520.2,           0.0,        3494.3,     19.0440,          41.400
      0.0,     20000.0,     48.0,         12021.1,           0.0,        3724.6,     20.7360,          43.200
      0.0,     20000.0,     50.0,         12522.0,           0.0,        3959.8,     22.5000,          45.000
      0.0,     30000.0,     21.0,          4919.6,           0.0,        1231.8,      4.6305,          20.475
      0.0,     30000.0,     22.0,          5153.8,           0.0,        1320.8,      5.0820,          21.450
      0.0,     30000.0,     24.0,          5622.4,           0.0,        1505.0,      6.0480,          23.400
      0.0,     30000.0,     26.0,          6090.9,           0.0,        1697.0,      7.0980,          25.350
      0.0,     30000.0,     30.0,          7027.9,           0.0,        2103.3,      9.4500,          29.250
      0.0,     30000.0,     34.0,          7965.0,           0.0,        2537.6,     12.1380,          33.150
      0.0,     30000.0,     38.0,          8902.1,           0.0,        2998.4,     15.1620,          37.050
      0.0,     30000.0,     42.0,          9839.1,           0.0,        3484.0,     18.5220,          40.950
      0.0,     30000.0,     46.0,         10776.2,           0.0,        3993.4,     22.2180,          44.850
      0.0,     30000.0,     48.0,         11244.7,           0.0,        4256.7,     24.1920,          46.800
      0.0,     30000.0,     50.0,         11713.2,           0.0,        4525.5,     26.2500,          48.750
      0.0,     37000.0,     21.0,          4667.1,           0.0,        1339.6,      5.0935,          21.578
      0.0,     37000.0,     22.0,          4889.3,           0.0,        1436.4,      5.5902,          22.605
      0.0,     37000.0,     24.0,          5333.8,           0.0,        1636.7,      6.6528,          24.660
      0.0,     37000.0,     26.0,          5778.3,           0.0,        1845.4,      7.8078,          26.715
      0.0,     37000.0,     30.0,          6667.3,           0.0,        2287.3,     10.3950,          30.825
      0.0,     37000.0,     34.0,          7556.3,           0.0,        2759.7,     13.3518,          34.935
      0.0,     37000.0,     38.0,          8445.2,           0.0,        3260.7,     16.6782,          39.045
      0.0,     37000.0,     42.0,          9334.2,           0.0,        3788.9,     20.3742,          43.155
      0.0,     37000.0,     46.0,         10223.2,           0.0,        4342.9,     24.4398,          47.265
      0.0,     37000.0,     48.0,         10667.7,           0.0,        4629.1,     26.6112,          49.320
      0.0,     37000.0,     50.0,         11112.2,           0.0,        4921.5,     28.8750,          51.375
      0.0,     39000.0,     21.0,          4592.4,           0.0,        1370.4,      5.2258,          21.893
      0.0,     39000.0,     22.0,          4811.1,           0.0,        1469.4,      5.7354,          22.935
      0.0,     39000.0,     24.0,          5248.5,           0.0,        1674.3,      6.8256,          25.020
      0.0,     39000.0,     26.0,          5685.9,           0.0,        1887.9,      8.0106,          27.105
      0.0,     39000.0,     30.0,          6560.6,           0.0,        2339.9,     10.6650,          31.275
      0.0,     39000.0,     34.0,          7435.4,           0.0,        2823.1,     13.6986,          35.445
      0.0,     39000.0,     38.0,          8310.1,           0.0,        3335.7,     17.1114,          39.615
      0.0,     39000.0,     42.0,          9184.9,           0.0,        3876.0,     20.9034,          43.785
      0.0,     39000.0,     46.0,         10059.6,           0.0,        4442.7,     25.0746,          47.955
      0.0,     39000.0,     48.0,         10497.0,           0.0,        4735.6,     27.3024,          50.040
      0.0,     39000.0,     50.0,         10934.3,           0.0,        5034.6,     29.6250,          52.125
      0.3,         0.0,     21.0,          5721.2,         180.0,         816.1,      2.6460,          16.223
      0.3,         0.0,     22.0,          5993.7,         180.0,         875.0,      2.9040,          16.995
      0.3,         0.0,     24.0,          6538.6,         180.0,         997.0,      3.4560,          18.540
      0.3,         0.0,     26.0,          7083.4,         180.0,        1124.2,      4.0560,          20.085
      0.3,         0.0,     30.0,          8173.2,         180.0,        1393.4,      5.4000,          23.175
      0.3,         0.0,     34.0,          9263.0,         180.0,        1681.2,      6.9360,          26.265
      0.3,         0.0,     38.0,         10352.7,         180.0,        1986.4,      8.6640,          29.355
      0.3,         0.0,     42.0,         11442.5,         180.0,        2308.2,     10.5840,          32.445
      0.3,         0.0,     46.0,         12532.2,         180.0,        2645.7,     12.6960,          35.535
      0.3,         0.0,     48.0,         13077.1,         180.0,        2820.1,     13.8240,          37.080
      0.3,         0.0,     50.0,         13622.0,         180.0,        2998.1,     15.0000,          38.625
      0.3,      2000.0,     21.0,          5663.7,         176.4,         848.7,      2.7783,          16.547
      0.3,      2000.0,     22.0,          5933.4,         176.4,         910.0,      3.0492,          17.335
      0.3,      2000.0,     24.0,          6472.8,         176.4,        1036.9,      3.6288,          18.911
      0.3,      2000.0,     26.0,          7012.2,         176.4,        1169.2,      4.2588,          20.487
      0.3,      2000.0,     30.0,          8091.1,         176.4,        1449.1,      5.6700,          23.639
      0.3,      2000.0,     34.0,          9169.9,         176.4,        1748.4,      7.2828,          26.790
      0.3,      2000.0,     38.0,         10248.7,         176.4,        2065.9,      9.0972,          29.942
      0.3,      2000.0,     42.0,         11327.5,         176.4,        2400.5,     11.1132,          33.094
      0.3,      2000.0,     46.0,         12406.3,         176.4,        2751.5,     13.3308,          36.246
      0.3,      2000.0,     48.0,         12945.7,         176.4,        2932.9,     14.5152,          37.822
      0.3,      2000.0,     50.0,         13485.1,         176.4,        3118.1,     15.7500,          39.398
      0.3,     10000.0,     21.0,          5427.6,         162.0,         979.3,      3.3075,          17.845
      0.3,     10000.0,     22.0,          5686.1,         162.0,        1050.1,      3.6300,          18.695
      0.3,     10000.0,     24.0,          6203.0,         162.0,        1196.4,      4.3200,          20.394
      0.3,     10000.0,     26.0,          6719.9,         162.0,        1349.1,      5.0700,          22.094
      0.3,     10000.0,     30.0,          7753.8,         162.0,        1672.1,      6.7500,          25.493
      0.3,     10000.0,     34.0,          8787.6,         162.0,        2017.4,      8.6700,          28.892
      0.3,     10000.0,     38.0,          9821.5,         162.0,        2383.7,     10.8300,          32.291
      0.3,     10000.0,     42.0,         10855.3,         162.0,        2769.8,     13.2300,          35.690
      0.3,     10000.0,     46.0,         11889.1,         162.0,        3174.8,     15.8700,          39.089
      0.3,     10000.0,     48.0,         12406.0,         162.0,        3384.1,     17.2800,          40.788
      0.3,     10000.0,     50.0,         12923.0,         162.0,        3597.8,     18.7500,          42.488
      0.3,     20000.0,     21.0,          5117.2,         144.0,        1142.5,      3.9690,          19.467
      0.3,     20000.0,     22.0,          5360.9,         144.0,        1225.1,      4.3560,          20.394
      0.3,     20000.0,     24.0,          5848.3,         144.0,        1395.9,      5.1840,          22.248
      0.3,     20000.0,     26.0,          6335.6,         144.0,        1573.9,      6.0840,          24.102
      0.3,     20000.0,     30.0,          7310.3,         144.0,        1950.8,      8.1000,          27.810
      0.3,     20000.0,     34.0,          8285.0,         144.0,        2353.7,     10.4040,          31.518
      0.3,     20000.0,     38.0,          9259.8,         144.0,        2781.0,     12.9960,          35.226
      0.3,     20000.0,     42.0,         10234.5,         144.0,        3231.5,     15.8760,          38.934
      0.3,     20000.0,     46.0,         11209.2,         144.0,        3703.9,     19.0440,          42.642
      0.3,     20000.0,     48.0,         11696.5,         144.0,        3948.1,     20.7360,          44.496
      0.3,     20000.0,     50.0,         12183.9,         144.0,        4197.4,     22.5000,          46.350
      0.3,     30000.0,     21.0,          4786.7,         126.0,        1305.7,      4.6305,          21.089
      0.3,     30000.0,     22.0,          5014.7,         126.0,        1400.1,      5.0820,          22.094
      0.3,     30000.0,     24.0,          5470.6,         126.0,        1595.3,      6.0480,          24.102
      0.3,     30000.0,     26.0,          5926.4,         126.0,        1798.8,      7.0980,          26.111
      0.3,     30000.0,     30.0,          6838.2,         126.0,        2229.4,      9.4500,          30.128
      0.3,     30000.0,     34.0,          7749.9,         126.0,        2689.9,     12.1380,          34.145
